,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat,SMA,Signal
2332,2024-03-07,39.605199158002634,171.2464451947494,187.0131069380859,39.605199158002634,39.605199158002634,3.5278473080544845,3.5278473080544845,3.5278473080544845,3.9138599999928845,3.9138599999928845,3.9138599999928845,-0.3860126919384001,-0.3860126919384001,-0.3860126919384001,0.0,0.0,0.0,179.32629439252398,181.60803981106395,-1
2333,2024-03-08,39.62571332341732,171.10932967692798,187.0713887067436,39.62571332341732,39.62571332341732,3.5246701096070554,3.5246701096070554,3.5246701096070554,3.914208581975286,3.914208581975286,3.914208581975286,-0.38953847236823047,-0.38953847236823047,-0.38953847236823047,0.0,0.0,0.0,179.2932806463244,180.97933993755268,-1
2334,2024-03-11,39.687255819661374,172.79734344097352,187.04426193090907,39.687255819661374,39.687255819661374,3.5292713111955107,3.5292713111955107,3.5292713111955107,3.918640805448767,3.918640805448767,3.918640805448767,-0.3893694942532561,-0.3893694942532561,-0.3893694942532561,0.0,0.0,0.0,179.75434920406934,180.58730208134412,-1
2335,2024-03-12,39.70776998507606,172.15461756047833,188.20257808597697,39.70776998507606,39.70776998507606,3.530621985638197,3.530621985638197,3.530621985638197,3.9166462679204477,3.9166462679204477,3.9166462679204477,-0.38602428228225105,-0.38602428228225105,-0.38602428228225105,0.0,0.0,0.0,179.9008956950501,180.2830053581181,-1
2336,2024-03-13,39.728284150490744,172.97895625046428,187.91068695549814,39.728284150490744,39.728284150490744,3.5359956030050177,3.5359956030050177,3.5359956030050177,3.9172374749587617,3.9172374749587617,3.9172374749587617,-0.38124187195374415,-0.38124187195374415,-0.38124187195374415,0.0,0.0,0.0,180.20732222155996,180.0687428282676,1
2337,2024-03-14,39.74879831590543,172.78435591827292,188.31440053706564,39.74879831590543,39.74879831590543,3.538682637920651,3.538682637920651,3.538682637920651,3.9138599999967827,3.9138599999967827,3.9138599999967827,-0.37517736207613195,-0.37517736207613195,-0.37517736207613195,0.0,0.0,0.0,180.4071807946096,179.94521344791252,1
2338,2024-03-15,39.76931248132013,173.54228958941658,188.11042362937255,39.76931248132013,39.76931248132013,3.5462067093774765,3.5462067093774765,3.5462067093774765,3.914208581975607,3.914208581975607,3.914208581975607,-0.36800187259813083,-0.36800187259813083,-0.36800187259813083,0.0,0.0,0.0,180.79951522990697,179.91193453079632,1
2339,2024-03-18,39.83085497756417,174.20609184767486,190.08795140876978,39.83085497756417,39.83085497756417,3.5769567477493642,3.5769567477493642,3.5769567477493642,3.918640805417921,3.918640805417921,3.918640805417921,-0.341684057668557,-0.341684057668557,-0.341684057668557,0.0,0.0,0.0,182.30410045818869,180.13254553615448,1
2340,2024-03-19,39.85136914297887,175.44418061602326,190.67852696914244,39.85136914297887,39.85136914297887,3.584679747319066,3.584679747319066,3.584679747319066,3.916646267916551,3.916646267916551,3.916646267916551,-0.33196652059748505,-0.33196652059748505,-0.33196652059748505,0.0,0.0,0.0,182.70576501275121,180.4279392196776,1
2341,2024-03-20,39.87188330839354,175.1736447505082,191.1086914751738,39.87188330839354,39.87188330839354,3.595134960289063,3.595134960289063,3.595134960289063,3.917237474958763,3.917237474958763,3.917237474958763,-0.3221025146697001,-0.3221025146697001,-0.3221025146697001,0.0,0.0,0.0,183.21668492296513,180.79153885779493,1
