,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,SMA,Signal
1252,2019-11-19,91.30241026884582,81.72846639277145,101.30549861874165,91.30241026884582,91.30241026884582,0.14227102847673925,0.14227102847673925,0.14227102847673925,-0.03244446364137041,-0.03244446364137041,-0.03244446364137041,0.17471549211810966,0.17471549211810966,0.17471549211810966,0.0,0.0,0.0,91.44468129732256,90.68772764253669,1
1253,2019-11-20,91.31526694160067,82.27484134867586,100.99127689083531,91.31526694160067,91.31526694160067,0.227271586131954,0.227271586131954,0.227271586131954,-0.014620711020639141,-0.014620711020639141,-0.014620711020639141,0.24189229715259317,0.24189229715259317,0.24189229715259317,0.0,0.0,0.0,91.54253852773262,90.82871997213938,1
1254,2019-11-21,91.32812361435552,82.86339928072371,100.78984509464352,91.32812361435552,91.32812361435552,0.2600999449477785,0.2600999449477785,0.2600999449477785,-0.033777058299918415,-0.033777058299918415,-0.033777058299918415,0.2938770032476969,0.2938770032476969,0.2938770032476969,0.0,0.0,0.0,91.5882235593033,90.96945533651417,1
1255,2019-11-22,91.34098028711037,81.79790287335663,100.99020237019498,91.34098028711037,91.34098028711037,0.16489826808572336,0.16489826808572336,0.16489826808572336,-0.16372927704706575,-0.16372927704706575,-0.16372927704706575,0.3286275451327891,0.3286275451327891,0.3286275451327891,0.0,0.0,0.0,91.50587855519609,91.10711728941563,1
1256,2019-11-25,91.37955030537495,81.57722001225456,101.44120983178288,91.37955030537495,91.37955030537495,0.19612280506288277,0.19612280506288277,0.19612280506288277,-0.11778312058574558,-0.11778312058574558,-0.11778312058574558,0.3139059256486284,0.3139059256486284,0.3139059256486284,0.0,0.0,0.0,91.57567311043783,91.2178985356183,1
1257,2019-11-26,91.3924069781298,83.13238394072819,101.10825064620471,91.3924069781298,91.3924069781298,0.23364697405055668,0.23364697405055668,0.23364697405055668,-0.03244446364118961,-0.03244446364118961,-0.03244446364118961,0.2660914376917463,0.2660914376917463,0.2660914376917463,0.0,0.0,0.0,91.62605395218036,91.31394373617249,1
1258,2019-11-27,91.40526365088465,82.41303568117999,101.32616225049733,91.40526365088465,91.40526365088465,0.18166554890953468,0.18166554890953468,0.18166554890953468,-0.014620711020584022,-0.014620711020584022,-0.014620711020584022,0.19628625993011867,0.19628625993011867,0.19628625993011867,0.0,0.0,0.0,91.58692919979418,91.39260746649353,1
1259,2019-11-29,91.43097699639435,81.56559591523757,100.63680120124965,91.43097699639435,91.43097699639435,-0.17107312034081465,-0.17107312034081465,-0.17107312034081465,-0.1637292770468651,-0.1637292770468651,-0.1637292770468651,-0.007343843293949527,-0.007343843293949527,-0.007343843293949527,0.0,0.0,0.0,91.25990387605353,91.42856887043776,-1
1260,2019-12-02,91.46954701465891,81.3299440308863,100.56179980280112,91.46954701465891,91.46954701465891,-0.5713603988421455,-0.5713603988421455,-0.5713603988421455,-0.11778312058636489,-0.11778312058636489,-0.11778312058636489,-0.4535772782557807,-0.4535772782557807,-0.4535772782557807,0.0,0.0,0.0,90.89818661581677,91.42944727443448,-1
1261,2019-12-03,91.48240368741376,81.50098783740248,99.62719842677552,91.48240368741376,91.48240368741376,-0.6642785170319377,-0.6642785170319377,-0.6642785170319377,-0.03244446364100879,-0.03244446364100879,-0.03244446364100879,-0.631834053390929,-0.631834053390929,-0.631834053390929,0.0,0.0,0.0,90.81812517038183,91.38461938642192,-1
1262,2019-12-04,91.49526036016863,81.39619194172238,100.22682706229241,91.49526036016863,91.49526036016863,-0.8351126837229588,-0.8351126837229588,-0.8351126837229588,-0.014620711020671383,-0.014620711020671383,-0.014620711020671383,-0.8204919727022875,-0.8204919727022875,-0.8204919727022875,0.0,0.0,0.0,90.66014767644567,91.30616602433422,-1
1263,2019-12-05,91.50811703292348,81.35229588257107,99.743793354347,91.50811703292348,91.50811703292348,-1.0503325727457875,-1.0503325727457875,-1.0503325727457875,-0.033777058299623804,-0.033777058299623804,-0.033777058299623804,-1.0165555144461638,-1.0165555144461638,-1.0165555144461638,0.0,0.0,0.0,90.45778446017769,91.19769061757873,-1
1264,2019-12-06,91.52097370567833,81.32907399232276,100.13959742145985,91.52097370567833,91.52097370567833,-1.3805989576681488,-1.3805989576681488,-1.3805989576681488,-0.16372927704732795,-0.16372927704732795,-0.16372927704732795,-1.2168696806208206,-1.2168696806208206,-1.2168696806208206,0.0,0.0,0.0,90.14037474801017,91.0529057364494,-1
1265,2019-12-09,91.55954372394291,80.297997062113,98.7353006450433,91.55954372394291,91.55954372394291,-1.9287539940357923,-1.9287539940357923,-1.9287539940357923,-0.11778312058620628,-0.11778312058620628,-0.11778312058620628,-1.8109708734495857,-1.8109708734495857,-1.8109708734495857,0.0,0.0,0.0,89.63078972990712,90.86539685392052,-1
1266,2019-12-10,91.57240039669774,80.65816274994674,99.17418338339542,91.57240039669774,91.57240039669774,-2.028668982275107,-2.028668982275107,-2.028668982275107,-0.03244446364082801,-0.03244446364082801,-0.03244446364082801,-1.9962245186342789,-1.9962245186342789,-1.9962245186342789,0.0,0.0,0.0,89.54373141442264,90.662202684319,-1
1267,2019-12-11,91.58525706945261,80.52370830217932,98.83870085330658,91.58525706945261,91.58525706945261,-2.184868386569848,-2.184868386569848,-2.184868386569848,-0.014620711020611802,-0.014620711020611802,-0.014620711020611802,-2.170247675549236,-2.170247675549236,-2.170247675549236,0.0,0.0,0.0,89.40038868288276,90.43963615738923,-1
1268,2019-12-12,91.59811374220746,80.02706505594394,98.71166348471532,91.59811374220746,91.59811374220746,-2.3643092225176314,-2.3643092225176314,-2.3643092225176314,-0.03377705829978838,-0.03377705829978838,-0.03377705829978838,-2.3305321642178427,-2.3305321642178427,-2.3305321642178427,0.0,0.0,0.0,89.23380451968983,90.2043236893788,-1
1269,2019-12-13,91.61097041496231,80.55837880849228,97.91447101429918,91.61097041496231,91.61097041496231,-2.638651678565116,-2.638651678565116,-2.638651678565116,-0.16372927704682996,-0.16372927704682996,-0.16372927704682996,-2.474922401518286,-2.474922401518286,-2.474922401518286,0.0,0.0,0.0,88.9723187363972,89.97556517541317,-1
1270,2019-12-16,91.64954043322687,79.09383775181732,97.58597253332364,91.64954043322687,91.64954043322687,-2.915256153107598,-2.915256153107598,-2.915256153107598,-0.11778312058565721,-0.11778312058565721,-0.11778312058565721,-2.797473032521941,-2.797473032521941,-2.797473032521941,0.0,0.0,0.0,88.73428428011928,89.75917494184341,-1
1271,2019-12-17,91.66239710598173,79.1967868443881,97.61600848290621,91.66239710598173,91.66239710598173,-2.8978095185282973,-2.8978095185282973,-2.8978095185282973,-0.03244446364124082,-0.03244446364124082,-0.03244446364124082,-2.865365054887057,-2.865365054887057,-2.865365054887057,0.0,0.0,0.0,88.76458758745343,89.55382118355058,-1
1272,2019-12-18,91.67525377873658,79.96019094469905,98.23402438498863,91.67525377873658,91.67525377873658,-2.927914830850043,-2.927914830850043,-2.927914830850043,-0.014620711020630147,-0.014620711020630147,-0.014620711020630147,-2.9132941198294127,-2.9132941198294127,-2.9132941198294127,0.0,0.0,0.0,88.74733894788653,89.36254031069467,-1
1273,2019-12-19,91.68811045149143,80.0067404821703,98.27212667213293,91.68811045149143,91.68811045149143,-2.9756805416138277,-2.9756805416138277,-2.9756805416138277,-0.03377705829982874,-0.03377705829982874,-0.03377705829982874,-2.941903483313999,-2.941903483313999,-2.941903483313999,0.0,0.0,0.0,88.7124299098776,89.18800485566466,-1
1274,2019-12-20,91.70096712424629,78.8710798223554,97.99366291924343,91.70096712424629,91.70096712424629,-3.116029025165318,-3.116029025165318,-3.116029025165318,-0.16372927704692664,-0.16372927704692664,-0.16372927704692664,-2.952299748118391,-2.952299748118391,-2.952299748118391,0.0,0.0,0.0,88.58493809908097,89.03246119077174,-1
1275,2019-12-23,91.73953714251086,79.5430402342341,98.09960410652131,91.73953714251086,91.73953714251086,-3.009186128991992,-3.009186128991992,-3.009186128991992,-0.11778312058588755,-0.11778312058588755,-0.11778312058588755,-2.891403008406104,-2.891403008406104,-2.891403008406104,0.0,0.0,0.0,88.73035101351886,88.9424173191329,-1
1276,2019-12-24,91.7523938152657,79.57698156377438,99.01115976484002,91.7523938152657,91.7523938152657,-2.8802498855112995,-2.8802498855112995,-2.8802498855112995,-0.032444463640803424,-0.032444463640803424,-0.032444463640803424,-2.847805421870496,-2.847805421870496,-2.847805421870496,0.0,0.0,0.0,88.8721439297544,88.87525857066609,-1
1277,2019-12-26,91.7781071607754,79.47015525593146,97.5571966869027,91.7781071607754,91.7781071607754,-2.7751223736114374,-2.7751223736114374,-2.7751223736114374,-0.03377705829974221,-0.03377705829974221,-0.03377705829974221,-2.7413453153116953,-2.7413453153116953,-2.7413453153116953,0.0,0.0,0.0,89.00298478716397,88.83551818109422,1
1278,2019-12-27,91.79096383353027,79.18343063648625,98.33750606828876,91.79096383353027,91.79096383353027,-2.8478007214120065,-2.8478007214120065,-2.8478007214120065,-0.1637292770470233,-0.1637292770470233,-0.1637292770470233,-2.684071444364983,-2.684071444364983,-2.684071444364983,0.0,0.0,0.0,88.94316311211827,88.80645404033704,1
1279,2019-12-30,91.82953385179484,80.12306853932533,99.31699096322778,91.82953385179484,91.82953385179484,-2.646131994040469,-2.646131994040469,-2.646131994040469,-0.11778312058533845,-0.11778312058533845,-0.11778312058533845,-2.5283488734551307,-2.5283488734551307,-2.5283488734551307,0.0,0.0,0.0,89.18340185775436,88.82756235247277,1
1280,2019-12-31,91.84239052454969,80.00986002756966,98.3906924538866,91.84239052454969,91.84239052454969,-2.5221267078279856,-2.5221267078279856,-2.5221267078279856,-0.03244446364087926,-0.03244446364087926,-0.03244446364087926,-2.4896822441871067,-2.4896822441871067,-2.4896822441871067,0.0,0.0,0.0,89.3202638167217,88.88616030613301,1
1281,2020-01-02,91.86810387005939,79.97624710209067,99.13447469925165,91.86810387005939,91.86810387005939,-2.4768626179448368,-2.4768626179448368,-2.4768626179448368,-0.033777058299782566,-0.033777058299782566,-0.033777058299782566,-2.4430855596450542,-2.4430855596450542,-2.4430855596450542,0.0,0.0,0.0,89.39124125211455,88.94882567259913,1
1282,2020-01-03,91.88096054281425,79.50300204135206,98.64537339030132,91.88096054281425,91.88096054281425,-2.6010925687757322,-2.6010925687757322,-2.6010925687757322,-0.16372927704682264,-0.16372927704682264,-0.16372927704682264,-2.4373632917289094,-2.4373632917289094,-2.4373632917289094,0.0,0.0,0.0,89.27986797403852,89.00207857521431,1
1283,2020-01-06,91.9195305610788,79.76550755933951,98.47842095284905,91.9195305610788,91.9195305610788,-2.6115200609045046,-2.6115200609045046,-2.6115200609045046,-0.11778312058595775,-0.11778312058595775,-0.11778312058595775,-2.493736940318547,-2.493736940318547,-2.493736940318547,0.0,0.0,0.0,89.30801050017429,89.06163663424398,1
1284,2020-01-07,91.93238723383365,79.2219135803619,97.86376958560143,91.93238723383365,91.93238723383365,-2.567495956012641,-2.567495956012641,-2.567495956012641,-0.03244446364111584,-0.03244446364111584,-0.03244446364111584,-2.535051492371525,-2.535051492371525,-2.535051492371525,0.0,0.0,0.0,89.36489127782102,89.13963195211798,1
1285,2020-01-08,91.9452439065885,80.32930625168787,99.04073274433709,91.9452439065885,91.9452439065885,-2.6000534513473523,-2.6000534513473523,-2.6000534513473523,-0.014620711020611686,-0.014620711020611686,-0.014620711020611686,-2.5854327403267403,-2.5854327403267403,-2.5854327403267403,0.0,0.0,0.0,89.34519045524115,89.20111589629023,1
1286,2020-01-09,91.95810057934337,79.82633465010643,98.90485829024328,91.95810057934337,91.95810057934337,-2.676684937086373,-2.676684937086373,-2.676684937086373,-0.03377705829994714,-0.03377705829994714,-0.03377705829994714,-2.6429078787864255,-2.6429078787864255,-2.6429078787864255,0.0,0.0,0.0,89.28141564225699,89.2420430675405,1
1287,2020-01-10,91.97095725209823,79.72829173528163,99.43852239947597,91.97095725209823,91.97095725209823,-2.868863314909945,-2.868863314909945,-2.868863314909945,-0.16372927704765167,-0.16372927704765167,-0.16372927704765167,-2.7051340378622935,-2.7051340378622935,-2.7051340378622935,0.0,0.0,0.0,89.10209393718829,89.25195398254291,-1
1288,2020-01-13,92.00952727036274,79.5838333446324,98.2439428822029,92.00952727036274,92.00952727036274,-3.0105201293636776,-3.0105201293636776,-3.0105201293636776,-0.11778312058579915,-0.11778312058579915,-0.11778312058579915,-2.8927370087778783,-2.8927370087778783,-2.8927370087778783,0.0,0.0,0.0,88.99900714099905,89.25753838543099,-1
